Rank,Movie,Release Date,Distributor,Genre,2023 Gross,Tickets Sold
1,Barbie,"Jul 21, 2023",Warner Bros.,Comedy,"$636,225,983","59,019,108"
2,The Super Mario Bros. Movie,"Apr 5, 2023",Universal,Action,"$574,934,330","53,333,425"
3,Spider-Man: Across the Spid…,"Jun 2, 2023",Sony Pictures,Adventure,"$381,311,319","35,372,108"
4,Guardians of the Galaxy Vol 3,"May 5, 2023",Walt Disney,Action,"$358,995,815","33,302,024"
5,Oppenheimer,"Jul 21, 2023",Universal,Drama,"$326,101,370","30,250,590"
6,The Little Mermaid,"May 26, 2023",Walt Disney,Adventure,"$298,172,056","27,659,745"
7,Avatar: The Way of Water,"Dec 16, 2022",20th Century Studios,Action,"$283,067,859","26,258,614"
8,Ant-Man and the Wasp: Quant…,"Feb 17, 2023",Walt Disney,Action,"$214,504,909","19,898,415"
9,John Wick: Chapter 4,"Mar 24, 2023",Lionsgate,Action,"$187,131,806","17,359,165"
10,Sound of Freedom,"Jul 4, 2023",Angel Studios,Thriller/Suspense,"$184,178,046","17,085,161"
11,TAYLOR SWIFT | THE ERAS TOUR,"Oct 13, 2023",AMC Theatres Dist…,Concert/Perfor…,"$180,560,779","16,749,608"
12,Indiana Jones and the Dial …,"Jun 30, 2023",Walt Disney,Adventure,"$174,480,468","16,185,572"
13,Mission: Impossible Dead Re…,"Jul 12, 2023",Paramount Pictures,Action,"$172,640,980","16,014,933"
14,The Hunger Games: The Balla…,"Nov 17, 2023",Lionsgate,Action,"$159,719,625","14,816,291"
15,Transformers: Rise of the B…,"Jun 9, 2023",Paramount Pictures,Action,"$157,341,749","14,595,710"
16,Creed III,"Mar 3, 2023",MGM,Drama,"$156,248,615","14,494,305"
17,Elemental,"Jun 16, 2023",Walt Disney,Adventure,"$154,426,697","14,325,297"
18,Fast X,"May 19, 2023",Universal,Action,"$146,126,015","13,555,289"
19,Five Nights at Freddy’s,"Oct 27, 2023",Universal,Horror,"$137,275,620","12,734,287"
20,Wonka,"Dec 15, 2023",Warner Bros.,Musical,"$133,129,902","12,349,712"
21,Puss in Boots: The Last Wish,"Dec 21, 2022",Universal,Adventure,"$130,425,380","12,098,829"
22,Teenage Mutant Ninja Turtle…,"Aug 2, 2023",Paramount Pictures,Adventure,"$118,700,272","11,011,157"
23,Scream VI,"Mar 10, 2023",Paramount Pictures,Horror,"$108,391,107","10,054,834"
24,The Flash,"Jun 16, 2023",Warner Bros.,Action,"$108,167,507","10,034,092"
25,Trolls Band Together,"Nov 17, 2023",Universal,Adventure,"$97,540,205","9,048,256"
26,M3GAN,"Jan 6, 2023",Universal,Horror,"$95,159,005","8,827,366"
27,Dungeons & Dragons: Honor A…,"Mar 31, 2023",Paramount Pictures,Adventure,"$93,549,650","8,678,075"
28,The Equalizer 3,"Sep 1, 2023",Sony Pictures,Action,"$92,373,751","8,568,994"
29,The Nun II,"Sep 8, 2023",Warner Bros.,Horror,"$86,270,590","8,002,838"
30,The Marvels,"Nov 10, 2023",Walt Disney,Adventure,"$84,479,155","7,836,656"
31,Meg 2: The Trench,"Aug 4, 2023",Warner Bros.,Action,"$82,633,033","7,665,402"
32,Insidious: The Red Door,"Jul 7, 2023",Sony Pictures,Horror,"$82,156,962","7,621,240"
33,Aquaman and the Lost Kingdom,"Dec 22, 2023",Warner Bros.,Action,"$76,469,713","7,093,665"
34,Blue Beetle,"Aug 18, 2023",Warner Bros.,Action,"$72,541,501","6,729,267"
35,Haunted Mansion,"Jul 28, 2023",Walt Disney,Comedy,"$67,653,287","6,275,815"
36,Evil Dead Rise,"Apr 21, 2023",Warner Bros.,Horror,"$67,356,372","6,248,272"
37,Killers of the Flower Moon,"Oct 20, 2023",Paramount Pictures,Western,"$67,292,161","6,242,315"
38,The Exorcist: Believer,"Oct 6, 2023",Universal,Horror,"$65,537,395","6,079,535"
39,PAW Patrol: The Mighty Movie,"Sep 29, 2023",Paramount Pictures,Adventure,"$65,343,309","6,061,531"
40,Cocaine Bear,"Feb 24, 2023",Universal,Black Comedy,"$64,670,240","5,999,095"
41,A Man Called Otto,"Dec 30, 2022",Sony Pictures,Comedy,"$64,228,358","5,958,104"
42,Wish,"Nov 22, 2023",Walt Disney,Adventure,"$60,609,147","5,622,369"
43,Napoleon,"Nov 22, 2023",Sony Pictures,Drama,"$60,534,093","5,615,407"
44,Shazam! Fury of the Gods,"Mar 17, 2023",Warner Bros.,Action,"$57,721,819","5,354,529"
45,Migration,"Dec 22, 2023",Universal,Adventure,"$54,103,955","5,018,919"
46,Saw X,"Sep 29, 2023",Lionsgate,Horror,"$53,607,898","4,972,903"
47,AIR,"Apr 5, 2023",Amazon Studios,Drama,"$52,460,106","4,866,429"
48,Jesus Revolution,"Feb 24, 2023",Lionsgate,Drama,"$52,102,987","4,833,301"
49,No Hard Feelings,"Jun 23, 2023",Sony Pictures,Comedy,"$50,452,282","4,680,175"
50,Talk To Me,"Jul 28, 2023",A24,Horror,"$48,299,436","4,480,467"
51,Godzilla Minus One,"Dec 1, 2023",Toho International,Action,"$45,580,412","4,228,238"
52,Gran Turismo: Based on a Tr…,"Aug 25, 2023",Sony Pictures,Action,"$44,428,554","4,121,387"
53,The Color Purple,"Dec 25, 2023",Warner Bros.,Musical,"$44,047,642","4,086,052"
54,The Boogeyman,"Jun 2, 2023",20th Century Studios,Horror,"$43,244,282","4,011,529"
55,A Haunting in Venice,"Sep 15, 2023",20th Century Studios,Thriller/Suspense,"$42,471,412","3,939,834"
56,The Creator,"Sep 29, 2023",20th Century Studios,Thriller/Suspense,"$40,774,679","3,782,438"
57,80 for Brady,"Feb 3, 2023",Paramount Pictures,Comedy,"$39,448,525","3,659,418"
58,The Boy and the Heron,"Dec 8, 2023",GKIDS,Adventure,"$35,846,555","3,325,283"
59,Knock at the Cabin,"Feb 3, 2023",Universal,Thriller/Suspense,"$35,397,980","3,283,671"
60,RENAISSANCE: A FILM BY BEYO…,"Dec 1, 2023",AMC Theatres Dist…,Concert/Perfor…,"$33,223,373","3,081,945"
61,Missing,"Jan 20, 2023",Sony Pictures,Thriller/Suspense,"$32,502,025","3,015,030"
